품명,category,actual_sum,pred_sum,wape,mape,method
액세서리 01,액세서리,49.0,42.0,15.27,15.27,daily
액세서리 03,액세서리,252.0,252.0,0.03,0.03,monthly
액세서리 11,액세서리,44.0,40.0,8.92,8.92,daily
액세서리 12,액세서리,29.0,26.0,10.15,10.15,daily
액세서리 13,액세서리,24.0,25.0,3.39,3.39,daily
디퓨저 03,디퓨저,47.0,44.0,4.74,4.74,daily
디퓨저 04,디퓨저,224.0,213.0,4.92,4.92,daily
디퓨저 06,디퓨저,249.0,232.0,6.98,6.98,daily
디퓨저 07,디퓨저,488.0,472.0,3.43,3.43,daily
디퓨저 08,디퓨저,3038.0,3020.0,0.58,0.58,daily
디퓨저 09,디퓨저,0.0,8.0,,,monthly
디퓨저 11,디퓨저,15.0,14.0,4.45,4.45,monthly
디퓨저 13,디퓨저,169.0,149.0,11.86,11.86,daily
디퓨저 14,디퓨저,178.0,161.0,9.6,9.6,daily
디퓨저 15,디퓨저,161.0,166.0,3.17,3.17,daily
디퓨저 16,디퓨저,6.0,6.0,5.26,5.26,monthly
디퓨저 17,디퓨저,57.0,38.0,33.45,33.45,daily
디퓨저 18,디퓨저,0.0,0.0,,,monthly
디퓨저 19,디퓨저,29.0,22.0,25.79,25.79,daily
디퓨저 20,디퓨저,124.0,110.0,11.35,11.35,daily
디퓨저 21,디퓨저,291.0,301.0,3.64,3.64,daily
디퓨저 22,디퓨저,0.0,1.0,,,monthly
디퓨저 24,디퓨저,3.0,3.0,1.32,1.32,monthly
디퓨저 26,디퓨저,29.0,24.0,17.74,17.74,daily
디퓨저 27,디퓨저,55.0,47.0,13.53,13.53,daily
디퓨저 28,디퓨저,33.0,31.0,7.61,7.61,daily
디퓨저 30,디퓨저,137.0,155.0,13.49,13.49,daily
디퓨저 31,디퓨저,873.0,927.0,6.2,6.2,daily
디퓨저 32,디퓨저,2432.0,2437.0,0.23,0.23,daily
디퓨저 33,디퓨저,616.0,680.0,10.49,10.49,daily
디퓨저 34,디퓨저,159.0,152.0,4.32,4.32,monthly
디퓨저 36,디퓨저,287.0,298.0,3.64,3.64,daily
디퓨저 37,디퓨저,372.0,378.0,1.79,1.79,daily
디퓨저 43,디퓨저,224.0,207.0,7.9,7.9,daily
디퓨저 44,디퓨저,161.0,139.0,13.4,13.4,daily
디퓨저 45,디퓨저,153.0,126.0,17.6,17.6,daily
디퓨저 46,디퓨저,58.0,53.0,8.83,8.83,daily
디퓨저 47,디퓨저,23.0,22.0,2.69,2.69,monthly
디퓨저 48,디퓨저,23.0,23.0,1.97,1.97,monthly
기타 01,기타,1934.0,1845.0,4.58,4.58,daily
기타 02,기타,206.0,210.0,1.82,1.82,daily
기타 03,기타,191.0,185.0,3.35,3.35,daily
오일 퍼퓸 04,오일 퍼퓸,1264.0,1217.0,3.73,3.73,daily
오일 퍼퓸 05,오일 퍼퓸,122.0,116.0,4.48,4.48,daily
오일 퍼퓸 06,오일 퍼퓸,1840.0,1688.0,8.28,8.28,monthly
오일 퍼퓸 09,오일 퍼퓸,461.0,433.0,5.94,5.94,daily
오일 퍼퓸 12,오일 퍼퓸,0.0,0.0,,,monthly
오일 퍼퓸 15,오일 퍼퓸,960.0,859.0,10.5,10.5,daily
오일 퍼퓸 17,오일 퍼퓸,26517.0,27369.0,3.22,3.22,daily
오일 퍼퓸 18,오일 퍼퓸,0.0,8.0,,,monthly
오일 퍼퓸 19,오일 퍼퓸,162.0,136.0,15.78,15.78,daily
오일 퍼퓸 20,오일 퍼퓸,1443.0,1305.0,9.56,9.56,daily
오일 퍼퓸 22,오일 퍼퓸,1114.0,1095.0,1.65,1.65,monthly
오일 퍼퓸 24,오일 퍼퓸,0.0,0.0,,,monthly
오일 퍼퓸 25,오일 퍼퓸,0.0,11.0,,,monthly
오일 퍼퓸 26,오일 퍼퓸,1450.0,1317.0,9.13,9.13,daily
오일 퍼퓸 27,오일 퍼퓸,1330.0,1201.0,9.71,9.71,daily
오일 퍼퓸 29,오일 퍼퓸,1176.0,1029.0,12.48,12.48,daily
캔들 02,캔들,260.0,246.0,5.17,5.17,daily
캔들 04,캔들,159.0,145.0,9.2,9.2,daily
캔들 05,캔들,13.0,10.0,20.11,20.11,monthly
캔들 06,캔들,39.0,32.0,17.56,17.56,daily
캔들 07,캔들,75.0,78.0,3.09,3.09,daily
캔들 08,캔들,13.0,10.0,23.93,23.93,monthly
기타 07,기타,456.0,495.0,8.57,8.57,monthly
기타 08,기타,887.0,898.0,1.27,1.27,daily
기타 09,기타,952.0,846.0,11.13,11.13,daily
기타 11,기타,3295.0,3469.0,5.26,5.26,daily
