품명,재고
완제품 001,-109.0
완제품 002,-27.0
완제품 003,-286.0
완제품 004,-24.0
완제품 005,-5.0
완제품 006,0.0
완제품 007,0.0
완제품 008,0.0
완제품 009,0.0
완제품 010,0.0
완제품 011,0.0
완제품 012,0.0
완제품 013,-58.0
완제품 014,0.0
완제품 015,0.0
완제품 016,0.0
완제품 017,0.0
완제품 018,0.0
완제품 019,81.0
완제품 020,276.0
완제품 021,1.0
완제품 022,115.0
완제품 023,4845.0
완제품 024,627.0
완제품 025,183.0
완제품 026,854.0
완제품 027,416.0
완제품 028,740.0
완제품 029,0.0
완제품 030,-390.0
완제품 031,-3.0
완제품 032,31.0
완제품 033,244.0
완제품 034,393.0
완제품 035,921.0
완제품 036,3530.0
완제품 037,3.0
완제품 038,28.0
완제품 039,286.0
완제품 040,274.0
완제품 041,410.0
완제품 042,818.0
완제품 043,345.0
완제품 044,731.0
완제품 045,2502.0
완제품 046,542.0
완제품 047,383.0
완제품 048,995.0
완제품 049,119.0
완제품 050,871.0
완제품 051,324.0
완제품 052,227.0
완제품 053,239.0
완제품 054,481.0
완제품 055,2076.0
완제품 056,1634.0
완제품 057,4659.0
완제품 058,1531.0
완제품 059,2263.0
완제품 060,503.0
완제품 061,259.0
완제품 062,1189.0
완제품 063,93.0
완제품 064,34.0
완제품 065,0.0
완제품 066,11.0
완제품 067,179.0
완제품 068,1438.0
완제품 069,14577.0
완제품 070,2.0
완제품 071,273.0
완제품 072,4613.0
완제품 073,2160.0
완제품 074,17.0
완제품 075,31.0
완제품 076,3166.0
완제품 077,3175.0
완제품 078,3122.0
완제품 079,76.0
완제품 080,39.0
완제품 081,77.0
완제품 082,75.0
완제품 083,19.0
완제품 084,12.0
완제품 085,29.0
완제품 086,126.0
완제품 087,74.0
완제품 088,42.0
완제품 089,40.0
완제품 090,294.0
완제품 091,56.0
완제품 092,93.0
완제품 093,40.0
완제품 094,58.0
완제품 095,29.0
완제품 096,9939.0
완제품 097,2317.0
완제품 098,4401.0
완제품 099,3043.0
